iter	Passed	Remaining
407	4635	6726
408	4645	6712
409	4650	6692
410	4654	6670
411	4660	6650
412	4665	6631
413	4670	6610
414	4674	6589
415	4689	6583
416	4698	6569
417	4707	6554
418	4712	6534
419	4716	6513
420	4724	6496
421	4728	6476
422	4733	6457
423	4739	6438
424	4743	6418
425	4749	6399
426	4753	6378
427	4757	6358
428	4761	6337
429	4768	6321
430	4774	6302
431	4782	6288
432	4789	6271
433	4795	6254
434	4802	6237
435	4819	6234
436	4827	6219
437	4832	6200
438	4841	6187
439	4850	6173
440	4856	6156
441	4864	6140
442	4868	6121
443	4873	6102
444	4878	6084
445	4882	6064
446	4886	6045
447	4890	6025
448	4894	6006
449	4898	5987
450	4912	5980
451	4917	5961
452	4921	5942
453	4925	5923
454	4934	5910
455	4938	5892
456	4944	5874
457	4950	5857
458	4955	5840
459	4960	5823
460	4971	5812
461	4977	5796
462	4985	5781
463	4992	5766
464	4998	5750
465	5005	5735
466	5009	5717
467	5014	5700
468	5019	5682
469	5023	5664
470	5030	5649
471	5033	5631
472	5038	5614
473	5044	5598
474	5049	5581
475	5056	5566
476	5064	5552
477	5069	5536
478	5078	5524
479	5085	5509
480	5097	5500
481	5103	5485
482	5110	5470
483	5116	5454
484	5123	5440
485	5129	5425
486	5140	5414
487	5146	5399
488	5156	5388
489	5161	5372
490	5169	5358
491	5175	5344
492	5190	5337
493	5196	5323
494	5201	5306
495	5207	5291
496	5212	5275
497	5217	5259
498	5222	5243
499	5227	5227
500	5231	5210
501	5237	5195
502	5242	5179
503	5250	5166
504	5254	5150
505	5269	5144
506	5277	5131
507	5284	5118
508	5291	5104
509	5297	5089
510	5302	5074
511	5312	5063
512	5319	5049
513	5326	5036
514	5331	5021
515	5336	5005
516	5343	4992
517	5348	4976
518	5353	4961
519	5365	4952
520	5375	4942
521	5385	4931
522	5396	4921
523	5401	4906
524	5405	4890
525	5409	4874
526	5413	4858
527	5419	4844
528	5423	4829
529	5427	4813
530	5432	4797
531	5436	4782
532	5440	4766
533	5444	4751
534	5450	4737
535	5454	4721
536	5458	4706
537	5464	4692
538	5468	4677
539	5473	4662
540	5478	4647
541	5482	4632
542	5486	4617
543	5490	4602
544	5498	4590
545	5503	4576
546	5511	4564
547	5516	4549
548	5524	4538
549	5529	4524
550	5533	4509
551	5537	4494
552	5541	4479
553	5551	4469
554	5558	4456
555	5564	4443
556	5568	4428
557	5572	4413
558	5576	4399
559	5580	4384
560	5586	4371
561	5590	4357
562	5594	4342
563	5598	4327
564	5603	4313
565	5607	4299
566	5612	4285
567	5626	4279
568	5631	4265
569	5646	4259
570	5653	4247
571	5658	4233
572	5672	4226
573	5683	4218
574	5688	4204
575	5699	4195
576	5707	4184
577	5717	4174
578	5726	4163
579	5741	4157
580	5753	4149
581	5764	4140
582	5770	4127
583	5775	4113
584	5779	4100
585	5786	4088
586	5791	4075
587	5795	4061
588	5802	4049
589	5811	4038
590	5821	4028
591	5826	4015
592	5838	4006
593	5844	3994
594	5855	3985
595	5867	3977
596	5874	3965
597	5890	3959
598	5899	3949
599	5905	3936
600	5909	3923
601	5916	3911
602	5920	3898
603	5928	3886
604	5934	3874
605	5944	3864
606	5961	3859
607	5968	3847
608	5980	3839
609	5989	3829
610	5998	3819
611	6013	3812
612	6023	3802
613	6038	3796
614	6044	3783
615	6054	3774
616	6060	3762
617	6067	3750
618	6074	3738
619	6079	3725
620	6090	3717
621	6096	3705
622	6102	3692
623	6106	3679
