iter	RMSE
0	1.044362713
1	1.017690942
2	0.9946366927
3	0.9677085372
4	0.9452330614
5	0.9239996381
6	0.9065454043
7	0.8855755058
8	0.8648507808
9	0.8461579474
10	0.8289600626
11	0.8112868853
12	0.794151788
13	0.7769775809
14	0.7630193178
15	0.7499289734
16	0.737486165
17	0.7281371508
18	0.7195273855
19	0.7070468749
20	0.6956828954
21	0.6854606819
22	0.6744554194
23	0.6629550905
24	0.6531557666
25	0.6454276167
26	0.6369059622
27	0.6285510266
28	0.621468097
29	0.6152483964
30	0.6074341857
31	0.6001453045
32	0.5923839467
33	0.587127328
34	0.5804422892
35	0.5752847072
36	0.5713992479
37	0.5649883714
38	0.5589287821
39	0.554555712
40	0.5520535724
41	0.5481437547
42	0.5430953638
43	0.538905481
44	0.5347834613
45	0.5312846335
46	0.5269092518
47	0.5241547321
48	0.5215709669
49	0.5183410881
50	0.5150234906
51	0.5108928293
52	0.5086263157
53	0.5044882627
54	0.5016052469
55	0.4983346941
56	0.4959504701
57	0.4938338466
58	0.4900640968
59	0.4878201557
60	0.4862824232
61	0.4847923772
62	0.4837099982
63	0.481921971
64	0.4801042599
65	0.4766623141
66	0.4740067261
67	0.4719593852
68	0.4705765554
69	0.4677110168
70	0.4652158686
71	0.4637073395
72	0.4609433993
73	0.4590479237
74	0.4574265185
75	0.4557516846
76	0.4545400596
77	0.4521662377
78	0.4508630636
79	0.4479955123
80	0.446563659
81	0.4452792689
82	0.4440842003
83	0.4424188302
84	0.4413995359
85	0.4397218005
86	0.4383165736
87	0.4378018144
88	0.436134994
89	0.435558097
90	0.4340728918
91	0.4323543688
92	0.430880075
93	0.4283972347
94	0.4277236604
95	0.4264282579
96	0.425440535
97	0.4245181159
98	0.4235292574
99	0.4230551319
100	0.4222296189
101	0.4213303226
102	0.4208908249
103	0.4193578119
104	0.419089953
105	0.4181259275
106	0.4174291177
107	0.4164489352
108	0.4150672117
109	0.4142072001
110	0.4132152496
111	0.4124942151
112	0.4117771065
113	0.4099123258
114	0.4086541848
115	0.4076732585
116	0.4067352316
117	0.4061200784
118	0.4058433658
119	0.4046374064
120	0.4039900123
121	0.4033160884
122	0.4028739673
123	0.4026580713
124	0.4017745453
125	0.4013158653
126	0.4008440053
127	0.4002534501
128	0.3995917379
129	0.3990176027
130	0.398182401
131	0.3976867276
132	0.3971526609
133	0.3963146372
134	0.3954856288
135	0.3945791189
136	0.3933956888
137	0.3930734841
138	0.3918385007
139	0.3905239686
140	0.3900975825
141	0.3889885924
142	0.388500559
143	0.3880542574
144	0.3870066921
145	0.3863569868
146	0.3859870298
147	0.3854883907
148	0.385090238
149	0.3838520951
150	0.3830563343
151	0.3823215852
152	0.38194413
153	0.3817099021
154	0.3809103808
155	0.3803384119
156	0.3792643129
157	0.3789974576
158	0.3778300664
159	0.377221897
160	0.3765648489
161	0.3763636472
162	0.3756314043
163	0.3745266234
164	0.373652656
165	0.3729144548
166	0.371634995
167	0.3703987614
168	0.3700450143
169	0.3696218186
170	0.3693591101
171	0.3687808731
172	0.3680992349
173	0.368026301
174	0.3673235265
175	0.3672590647
176	0.3668326275
177	0.3664434211
178	0.3661166971
179	0.3653820313
180	0.364334057
181	0.3635711198
182	0.3630091124
183	0.3623223211
184	0.361548134
185	0.3610966079
186	0.3605909491
187	0.3601820606
188	0.3595937374
189	0.3588139686
190	0.3581491828
191	0.3579700625
192	0.3573998383
193	0.3567268129
194	0.3566981029
195	0.3565571535
196	0.3564229508
197	0.3563549915
198	0.3558491954
199	0.3550741668
200	0.35389719
201	0.3533552266
202	0.3525750105
203	0.352131147
204	0.3515151205
205	0.3509755713
206	0.3505739103
207	0.3500374941
208	0.349095656
209	0.3481529399
210	0.3470316434
211	0.346721558
212	0.3459934633
213	0.345463564
214	0.3451598592
215	0.3443899723
216	0.3441329963
217	0.3438906619
218	0.3435082266
219	0.3432407328
220	0.3423302663
221	0.3419963347
222	0.3418894219
223	0.3412578243
224	0.3404061499
225	0.3403237268
