iter	Logloss
0	0.6782007005
1	0.6635495504
2	0.6497199164
3	0.6365962982
4	0.6228609721
5	0.6097014957
6	0.5972655826
7	0.5849763658
8	0.5724545373
9	0.5595768399
10	0.5479144626
11	0.5369828118
12	0.5261339823
13	0.5157034132
14	0.504800415
15	0.4947121514
16	0.485728285
17	0.4768118117
18	0.4668550279
19	0.4584151374
20	0.45023418
21	0.4416058011
22	0.4328931597
23	0.4245809767
24	0.4168854607
25	0.4102890862
26	0.4028338114
27	0.3954357571
28	0.3880733066
29	0.3818623861
30	0.3761386447
31	0.3694094764
32	0.3627753788
33	0.3565057543
34	0.3506262673
35	0.3446857876
36	0.3384682973
37	0.3332115809
38	0.3275317722
39	0.3223859999
40	0.3170328988
41	0.3118286557
42	0.3071567535
43	0.3022798538
44	0.2979954614
45	0.2932701747
46	0.2886951023
47	0.2848524729
48	0.2806533602
49	0.2773473104
50	0.2730016496
51	0.2689071443
52	0.2649186028
53	0.2615826077
54	0.2579277886
55	0.2547245026
56	0.2515387005
57	0.248292711
58	0.2451306025
59	0.2421571943
60	0.2393739488
61	0.2369138506
62	0.233785714
63	0.2310857561
64	0.2287807465
65	0.2261995951
66	0.2233484904
67	0.2200174332
68	0.2172897339
69	0.2158021503
70	0.2136411243
71	0.2109543694
72	0.208821445
73	0.2064301809
74	0.2040853712
75	0.2023830838
76	0.2002830717
77	0.198111852
78	0.1959136539
79	0.1937970055
80	0.1920116425
81	0.1897923787
82	0.1878252877
83	0.1858190748
84	0.1840246412
85	0.1822467804
86	0.1803952323
87	0.1784259796
88	0.1767953979
89	0.1751796405
90	0.1737067329
91	0.1722945531
92	0.1703127331
93	0.1685745981
94	0.1670832528
95	0.1652656555
96	0.1636881934
97	0.1621981515
98	0.1604869313
99	0.1589007696
100	0.1575148053
101	0.1562733968
102	0.1551256074
103	0.1538464652
104	0.1526322683
105	0.1513735771
106	0.1502005895
107	0.1489980486
108	0.1479317453
109	0.1465997908
110	0.1453209665
111	0.1443308512
112	0.1433433215
113	0.1426016702
114	0.1416508463
115	0.1403201209
116	0.1394903607
117	0.1384836197
118	0.1372830497
119	0.1364664714
120	0.1355993695
121	0.1347450044
122	0.133747779
123	0.1327970081
124	0.1319030338
125	0.1310924742
126	0.130266783
127	0.129403517
128	0.1287106196
129	0.1279500961
130	0.1272284614
131	0.1267136892
132	0.1258929359
133	0.1252342648
134	0.124799082
135	0.1240537855
136	0.1234029134
137	0.1227063603
138	0.1220629374
139	0.1214171304
140	0.1207733472
141	0.1200028737
142	0.1193547991
143	0.1186616686
144	0.118018659
145	0.1173923704
146	0.1167293761
147	0.115987534
148	0.1154453066
149	0.1146707217
150	0.1141027662
151	0.1134660085
152	0.1128920237
153	0.1124239816
154	0.111904441
155	0.111277771
156	0.1106809828
157	0.110305606
158	0.1097846773
159	0.1092707104
160	0.1088439306
161	0.1084470537
162	0.1078445964
163	0.1073877335
164	0.1069049199
165	0.106513638
166	0.1058748457
167	0.1054849095
168	0.1052245246
169	0.1047165977
170	0.1042576896
171	0.1038332939
172	0.1034651015
173	0.103147761
174	0.1028557248
175	0.1024679184
176	0.1019583384
177	0.1015699387
178	0.1011425866
179	0.1008116298
180	0.1004519992
181	0.1000827154
182	0.09980284373
183	0.09941161474
184	0.09906680849
185	0.09903877046
186	0.09876745012
187	0.09844907125
188	0.09808642069
189	0.09774345822
190	0.0974802653
191	0.09714332157
192	0.09680497911
193	0.09655380249
194	0.096042792
195	0.09589121077
196	0.09572616153
197	0.09547144572
198	0.0952791108
199	0.0949722396
200	0.0946325726
201	0.0943942176
202	0.0940536499
203	0.09380590651
204	0.09350244734
205	0.09331777361
206	0.09300016827
207	0.09274457296
208	0.09240167406
209	0.09222630395
210	0.09194092221
211	0.09164084329
212	0.09135227203
213	0.09106498294
214	0.09090970357
215	0.09065683153
216	0.09032050239
217	0.09018125534
218	0.09010085
219	0.08987406625
220	0.08963963191
221	0.08943939209
222	0.08925479253
223	0.08896081713
224	0.08866453701
225	0.08852761057
226	0.08847899967
227	0.08819963667
228	0.08783928553
229	0.08751382828
230	0.08716386159
231	0.08686496417
232	0.0866651694
233	0.0865650177
234	0.08632661502
235	0.08603868484
236	0.08580054177
237	0.085651705
238	0.08546961678
239	0.08524005148
240	0.08498160574
241	0.08479778502
242	0.08468135728
243	0.08461391131
244	0.08439759148
245	0.08429705302
246	0.08420437707
247	0.08407027986
248	0.08393796285
249	0.08368213442
250	0.08345197042
251	0.08320386675
252	0.08290945159
253	0.08250553873
254	0.08230067889
255	0.08207138909
256	0.0820262803
257	0.08177939521
258	0.0815290716
259	0.08132861455
260	0.08122865359
261	0.08112159305
262	0.08091398875
263	0.08061899079
264	0.0804599656
265	0.08024599287
266	0.08009608057
267	0.08002819485
268	0.07996681001
269	0.07983141475
270	0.07962098651
271	0.0794107808
272	0.07923444112
273	0.07906454934
274	0.07886386447
275	0.07867956691
276	0.07851594289
277	0.07830680741
278	0.0781528208
279	0.07801038954
280	0.07790853712
281	0.07769290076
282	0.07756934696
283	0.07745104896
284	0.07733105554
285	0.0772163815
286	0.0769952986
287	0.07682205836
288	0.07677178913
289	0.07666011386
290	0.07657623821
291	0.07651744948
292	0.07645048036
293	0.07634177738
294	0.0761663119
295	0.07598073218
296	0.07580063078
297	0.07562126584
298	0.07554599974
299	0.07540256712
300	0.07530176375
301	0.07514391475
302	0.07507255342
303	0.07494528029
304	0.07482997047
305	0.07462997966
306	0.07456484901
307	0.07442867491
308	0.07430303891
309	0.0741651641
310	0.074051253
311	0.07396421962
312	0.07377446493
313	0.07370583746
314	0.07357886102
315	0.07344367769
316	0.07337478002
317	0.07327504158
318	0.07321868473
319	0.07307445738
320	0.07296609349
321	0.07290885184
322	0.07275157505
323	0.07266352971
324	0.07264262305
325	0.07252803379
326	0.07245031993
327	0.07229409748
328	0.0721853998
329	0.07199613253
330	0.07183907827
331	0.07177843518
332	0.0717426406
333	0.07164257897
334	0.07141389847
335	0.07124976582
336	0.07107499441
337	0.07101777395
338	0.07083934148
339	0.07065589693
340	0.07055883408
341	0.07047587501
342	0.07029292319
343	0.07025584115
344	0.07015091578
345	0.0700102965
346	0.06987052494
347	0.06975553301
348	0.06958380805
349	0.06952057944
350	0.06930913395
351	0.06920287344
352	0.06912425359
353	0.06903863483
354	0.06897875468
355	0.06893937853
356	0.06890258789
357	0.06884591844
358	0.06876144409
359	0.06866965294
360	0.06860958735
361	0.06856772105
362	0.06847067939
363	0.06839515368
364	0.0683546755
365	0.06826528973
366	0.06820091671
367	0.06806086964
368	0.06798079279
369	0.06786551476
